publisher_name,iati_organisation_identifier,organisation_type,country
Centre for Environment Human Rights and Development,NG-CAC-19258,International NGO,Nigeria
World Benchmarking Alliance Foundation,NL-KVK-53744993,Foundation,Netherlands
transforma,CO-CCB-S0052181,National NGO,Colombia
Yamaan Foundation for Health and Social Development,YE-MSAL-80/295,National NGO,Yemen
ClientEarth,GB-COH-02863827,International NGO,United Kingdom
Terre des hommes- Aide à l'enfance dans le monde- Fondation,CH-FDJP-CHE106823242,International NGO,Switzerland
University of Dundee,GB-SC-015096,"Academic, Training and Research",United Kingdom
Young Africa International HUB,ZW-ROD-MA0000405/2015,International NGO,Zimbabwe
International Potato Center,XM-DAC-47021,Multilateral,Peru
Triggerise Ethiopia,ET-CSA-3994,International NGO,Ethiopia
ActionAid Bangladesh,BD-NAB-0210,International NGO,Bangladesh
Shift Project Ltd.,US-EIN-45-2779314,International NGO,United States
Kenya National Commission on Human Rights,KE-KRA-P051155108P,Government,Kenya
World Jewish Relief,GB-CHC-290767,International NGO,United Kingdom
DKT Ethiopia,ET-CSA-0062,International NGO,Ethiopia
Unie van Waterschappen,NL-KVK-40407706,Other Public Sector,Netherlands
Mercy Ships UK Limited,GB-COH-03147724,International NGO,United Kingdom
Rainforest Action Network,US-EIN-94-3045180,International NGO,United States
University of Kinshasa,XI-GRID-grid.9783.5,"Academic, Training and Research",Congo (Democratic Republic of the)
kidasha,GB-CHC-1106156,International NGO,United Kingdom
World Vision Germany,DE-CR-RA000209-VR1207,International NGO,Germany
World Vision Ethiopia,ET-CSA-0784,International NGO,Ethiopia
Doctors with Africa CUAMM,IT-CF-00677540288,International NGO,Italy
Ground Truth Solutions,AT-UID-U74408937,International NGO,Austria
African Tax Administration Forum,XI-BRIDGE-3665722432,International NGO,South Africa
Peace Direct,GB-CHC-1123241,International NGO,(No country assigned)
University of Dar es Salaam,XI-GRID-grid.8193.3,"Academic, Training and Research","Tanzania, United Republic of"
Small Arms Survey,XM-DAC-30009,"Academic, Training and Research",Switzerland
Family Guidance Association of Ethiopia,ET-CSA-0475,National NGO,Ethiopia
Ministry of Foreign Affairs - United Arab Emirates (UAE),XM-DAC-576,Government,United Arab Emirates
Population Services Kenya,KE-NCB-2180511304359047,National NGO,Kenya
Faith to Action Network,KE-NCB-2180511403539790,International NGO,Kenya
Auschwitz Institute for the Prevention of Genocide and Mass Atrocities,UG-NGO-3329,"Academic, Training and Research",Uganda
Healthright International-Kenya,KE-NCB-218051200501953650,National NGO,Kenya
Carbon Trust (Beijing) Consulting Limited,CN-SAIC-9111010506489375XP,Private Sector,China
M&C Saatchi,GB-COH-OC364842,Private Sector,United Kingdom
Restart Center,LB-MOI-6491,National NGO,Lebanon
Business in the Community,GB-CHC-297716,International NGO,United Kingdom
Balloon Ventures Foundation,GB-CHC-1141552,International NGO,United Kingdom
African Parks Network,ZA-CIP-2007-0308903-08,International NGO,South Africa
The Institute for Strategic Dialogue,GB-COH-06581421,"Academic, Training and Research",United Kingdom
Near East Foundation Mali (NEF Mali),ML-NIF-055000335T,International NGO,Mali
Women Engage for a Common Future,NL-KVK-41186799,International NGO,Netherlands
International Crisis Group,US-EIN-52-5170039,International NGO,Belgium
Bibliothèques Sans Frontières,FR-RCS-49962201700014,International NGO,France
Stockholm International Water Institute,SE-ON-802425-8702,International NGO,Sweden
Nature and Development Foundation,GH-RGD-CG077262013,National NGO,Ghana
"Centre for Injury Prevention and Research, Bangladesh (CIPRB)",BD-NAB-2004,National NGO,Bangladesh
The Mailman School of Public Health,XI-BRIDGE-1812689272,"Academic, Training and Research",United States
Boston University,US-EIN-04-2103547,"Academic, Training and Research",United States
Rene Moawad Foundation,LB-MOI-110,National NGO,Lebanon
Accountable Now,GB-CHC-1173827,International NGO,United Kingdom
Larive International,NL-KVK-30157019,Private Sector,Netherlands
Environmental Centre for Oil Spills and Gas Flaring (NACGOND),NG-CAC-57289,National NGO,Nigeria
U.S. African Development Foundation,US-GOV-13-ADF,Government,United States
Handicap International Federation,FR-RCS-519655997,International NGO,France
Luminate Foundation Inc.,US-EIN-82-3941326,Foundation,United States
Alliance for a Green Revolution for Africa,US-EIN-98-0513530,International NGO,United States
Behavioural Insights Team,GB-COH-08567792,Private Sector,United Kingdom
Nepal Netra Jyoti Sangh,NP-SWC-24,National NGO,Nepal
Trust for Indigenous Culture and Health,KE-KRA-P051161193S,International NGO,Kenya
Brujula Comunicaciones Estrategicas SAS,CO-RUE-830140714-1,Private Sector,Colombia
Makerere University School of Public Health,XI-GRID-grid.11194.3c,"Academic, Training and Research",Uganda
Reach A Hand Uganda,UG-NGB-12317,National NGO,Uganda
UN Global Compact Local Network UK,GB-COH-08567552,Multilateral,United Kingdom
STC International,NL-KVK-815165924,"Academic, Training and Research",Netherlands
The Leprosy Mission Nepal,NP-SWC-17775,National NGO,Nepal
Fiftyfifty,LB-MOI-25465,National NGO,Lebanon
East African Playgrounds,GB-CHC-1172875,International NGO,United Kingdom
The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),XM-DAC-41130,Multilateral,(No country assigned)
Centre for Policy Dialogue,BD-NAB-0918,National NGO,Bangladesh
African Women's Development and Communication Network,KE-KRA-P000634725S,Regional NGO,Kenya
Women's International Peace Centre,UG-NGO-2292,International NGO,Uganda
GSMA Foundation,US-EIN-37-1552838,Foundation,United States
The Global Initiative Against Transnational Organized Crime,CH-FDJP-CHE296622304,Other Public Sector,Switzerland
CODEART ASBL,BE-BCE_KBO-0434417468,National NGO,Belgium
Al Majmoua,LB-MOI-1-100,National NGO,Lebanon
Economic and Social Fund for Development,XI-IATI-ESFD,Government,Lebanon
DKT RD Congo,XI-IATI-DKTDRC,National NGO,Congo (Democratic Republic of the)
Leaders of Tomorrow,JO-CCD-200104681,Private Sector,Jordan
Altai Consulting,AE-HFZA-1526,Private Sector,United Arab Emirates
Grand Challenges Canada,CA-CRA_ACR-811793611,National NGO,Canada
Family Counseling and Development Foundation,YE-MSAL-473-2001,National NGO,Yemen
Justice For All Prison Fellowship Ethiopia,ET-CSA-1327,National NGO,Ethiopia
Global Antibiotic Research and Development Partnership,CH-FDJP-CHE331930936,Public Private Partnership,Switzerland
International Youth Alliance for Family Planning,US-EIN-47-5049026,International NGO,United States
forum for women in democracy,UG-NGB-1277,National NGO,Uganda
The Legal Aid Forum,RW-RGB-114-RGB-RGO-2013,National NGO,Rwanda
Palladium Europe,NL-KVK-30114696,Private Sector,Netherlands
BoP Innovation Center,NL-KVK-50744984,Foundation,Netherlands
Awake Travel,CO-RUE-900619925-0,Private Sector,Colombia
Mwatana for Human Rights,YE-MSAL-18-2013,National NGO,Yemen
CDP Worldwide,GB-CHC-1122330,International NGO,United Kingdom
SOAS University of London,GB-COH-RC000541,"Academic, Training and Research",United Kingdom
Stichting Fern,NL-KVK-41169658,International NGO,Netherlands
Climate Bonds Initiative,GB-CHC-1154413,International NGO,(No country assigned)
Finn Church Aid (Kirkon Ulkomaanapu sr),FI-PRO-0998454-4,International NGO,Finland
Development Media International,GB-COH-06069322,International NGO,United Kingdom
"SDSN Association, Inc.",US-EIN-47-3511012,International NGO,United States
Universidad de los Andes,XI-GRID-grid.7247.6,"Academic, Training and Research",Colombia
Programming Their Future,NL-KVK-74064800,"Academic, Training and Research",Netherlands
Wildlife Conservation Society,US-EIN-13-1740011,International NGO,United States
Netherlands Water Partnership,NL-KVK-27186453,Foundation,Netherlands
Commonwealth Local Government Forum,GB-COH-02962250,International NGO,United Kingdom
Coöperatief Climate Fund Managers U.A.,NL-KVK-64460789,Private Sector,Netherlands
Earthworm Foundation,CH-FDJP-CHE251665168,International NGO,Switzerland
Thomson Reuters Foundation,GB-CHC-1082139,Foundation,United Kingdom
City of London Corporation,GB-LAE-LND,Other Public Sector,United Kingdom
WasteAid UK,GB-CHC-1160263,International NGO,United Kingdom
University Of Liverpool,GB-COH-RC000660,"Academic, Training and Research",United Kingdom
Shortlist Professionals Limited,MU-CR-C134274,Private Sector,Mauritius
International Campaign Women´s Right to Safe Abortion,GB-CHC-1187935,National NGO,United Kingdom
Royal Institute of International Affairs,GB-CHC-208223,"Academic, Training and Research",United Kingdom
CARPO - Center for Applied Research in Partnership with the Orient,DE-CR-RA000220-VR9971,International NGO,Germany
inHive,GB-CHC-1150964,International NGO,United Kingdom
RedR UK,GB-CHC-1079752,International NGO,United Kingdom
World Bank Trust Funds,XI-IATI-WBTF,Multilateral,United States
Cowater UK Limited,GB-COH-11373728,Private Sector,United Kingdom
Sexual Reproductive Health and Rights Africa Trust,ZA-CIP-M2005001486,Regional NGO,South Africa
"Field Ready, USA",US-EIN-61-1725201,International NGO,United States
University of Central Lancashire,GB-UKPRN-10007141,"Academic, Training and Research",United Kingdom
Conseil et Appui pour l'Education à la Base Mali,ML-NIF-084106436R,National NGO,Mali
World Vision Central African Republic,XM-OCHA-7482,International NGO,Central African Republic
MedicineAfrica Ltd.,GB-COH-07840888,"Academic, Training and Research",United Kingdom
CANADEM,CA_ON-ONT-1597880,International NGO,Canada
Ethiopian Public Health Association,ET-CSA-1351,Other Public Sector,Ethiopia
CAPABUILD,NL-KVK-68758766,International NGO,Netherlands
The AGRI3 Fund,NL-KVK-72908114,Public Private Partnership,Netherlands
Sana'a Center for Strategic Studies,YE-MSAL-49-M-2019,National NGO,Yemen
Bangladesh Business and Disability Network,XI-IATI-BBDN,National NGO,Bangladesh
"The University of the West of England, Bristol",GB-UKPRN-10007164,"Academic, Training and Research",United Kingdom
Iniciativa Climatica de Mexico,MX-RFC-ICM160118IZ1,National NGO,Mexico
Global Water Partnership,XM-DAC-7-PPR-4000002938,International NGO,Sweden
"Entiqal for Training ""Partners for Good""",JO-CCD-200006694,National NGO,Jordan
World Vision Democratic Republic of Congo,XI-IATI-WVDRC,International NGO,Congo (Democratic Republic of the)
NLR Indonesia,ID-KHH-5018112631240040,National NGO,Indonesia
TRAFFIC International,GB-CHC-1076722,"Academic, Training and Research",United Kingdom
Youth Development Labs Inc,US-EIN-81-2339233,International NGO,United States
Eurasia Partnership Foundation,AM-SRALE-222.160.00823,Foundation,Armenia
Elrha,GB-CHC-1177110,International NGO,United Kingdom
The International Institute for Strategic Studies,GB-CHC-206504,"Academic, Training and Research",United Kingdom
Rabo Partnerships,NL-KVK-30114598,Private Sector,Netherlands
Ethiopiaid Ireland,IE-CHY-20041069,International NGO,Ireland
"UK - Foreign, Commonwealth and Development Office",GB-GOV-1,Government,United Kingdom
IMPACT Initiatives,XM-OCHA-HPC9829,International NGO,Switzerland
Synergía - Initiatives for Human Rights,US-EIN-82-0644678,International NGO,United States
McKinsey Development Partners,GB-COH-11594545,Private Sector,United Kingdom
University of Cape Town,XI-GRID-grid.7836.a,"Academic, Training and Research",South Africa
King Hussein Foundation,XI-IATI-KHF,National NGO,Jordan
"Imperial College of Science, Technology and Medicine",GB-COH-04465125,"Academic, Training and Research",United Kingdom
The Freedom Fund,GB-CHC-1158838,International NGO,United Kingdom
Oxfam-Quebec,CA-CRA_ACR-119075091,International NGO,Canada
the global steering group for impact investment,GB-CHC-1175658,International NGO,United Kingdom
Kemitraan Bagi Pembaruan Tata Pemerintahan,ID-KHH-6014052331100057,National NGO,Indonesia
Soluciones en Legislación y Política Ambiental AC,MX-RFC-SLP1412039F3,National NGO,Mexico
UK-Med,GB-CHC-1166956,International NGO,United Kingdom
Sowt podcasting and training L.L.C,JO-CCD-45293,Private Sector,Jordan
Bangladesh Youth Leadership Center,BD-NAB-2686,National NGO,Bangladesh
Global Impact Investing Network,US-EIN-27-3166994,National NGO,United States
IDOM INGENIERIA,MX-RFC-IIN920701G55,Private Sector,Mexico
Asia Justice and Rights,ID-DJP-312529852906000,Regional NGO,Indonesia
Solidar Suisse,CH-FDJP-CHE105829963,International NGO,Switzerland
University of Edinburgh,GB-UKPRN-10007790,"Academic, Training and Research",United Kingdom
African Institute For Development Policy,KE-KRA-P051335339D,International NGO,Kenya
Leaders International,JO-CCD-200167994,International NGO,Jordan
Sociaal-Economische Raad,NL-KVK-27363950,Other Public Sector,Netherlands
Financial Sector Deepening Trust (Kenya),KE-KRA-P051172537S,Other Public Sector,Kenya
Cobra Collective CIC,GB-COH-10516061,International NGO,United Kingdom
Northern Ireland Cooperation Overseas Ltd,GB-GOR-OT1175,Other Public Sector,United Kingdom
Light for the World International,AT-ZVR-315688676,International NGO,Austria
Water & Land Resource Center - Addis Ababa University,XI-GRID-grid.473464.6,"Academic, Training and Research",Ethiopia
Paradigm Initiative,NG-CAC-30547,International NGO,Nigeria
JoWomenomics,JO-MSD-200159274,National NGO,Jordan
Advance Consulting,NL-KVK-09108013,Private Sector,Netherlands
The University of Sheffield,XI-GRID-grid.11835.3e,"Academic, Training and Research",United Kingdom
CGIAR,XM-DAC-47015,"Academic, Training and Research",France
Financial Sector Deepening Uganda,UG-RSB-197310,National NGO,Uganda
Stichting Wilde Ganzen/ IKON,NL-KVK-41192276,National NGO,Netherlands
Prospero Limited,ZM-PCR-12015013762,National NGO,Zambia
University of York,GB-COH-RC000679,"Academic, Training and Research",United Kingdom
United Nations Development Coordination Office,XM-DAC-41149,Other Public Sector,United States
Global Witness,GB-COH-02871809,International NGO,United Kingdom
Global Anaesthesia Development Partnerships,GB-CHC-1175791,"Academic, Training and Research",United Kingdom
Abdul Latif Jameel Poverty Action Lab at MIT,US-EIN-042103594,"Academic, Training and Research",United States
Wala Ltd,MW-RG-1011251,Private Sector,Malawi
Pathfinder International,US-EIN-53-0235320,International NGO,United States
AUXFIN Burundi,BI-NIF-4000742330,Private Sector,Burundi
Micaia Foundation,MZ-MOJ100094525,National NGO,Mozambique
Forever Sabah,MY-SSM-1172311D,National NGO,Malaysia
Centre for Economic Strategy Ukraine,UA-EDR-9795443,National NGO,Ukraine
"Association de solidarité internationale, Agriculteurs français et développement international (Afdi) France",FR-INSEE-31827645800037,Other Public Sector,France
Elton John AIDS Foundation,GB-CHC-1017336,Foundation,United Kingdom
Alinea International Ltd.,CA_AB-ABT-203435797,Private Sector,Canada
Sustainable Hospitality Alliance,GB-CHC-1188731,International NGO,United Kingdom
Instituto BVRio,BR-CNPJ-14.563.354/0001-50,International NGO,Brazil
OurLoop Stitchting,NL-KVK-861193660,Foundation,Netherlands
The Proforest Initiative UK,GB-CHC-1137523,"Academic, Training and Research",United Kingdom
EngenderHealth,US-EIN-13-1623838,International NGO,United States
Corus International,US-EIN-843236198,International NGO,United States
Forest Trends Association,US-EIN-52-2135531,International NGO,United States
Church of England - The Archbishops' Council,GB-CHC-1074857,"Academic, Training and Research",United Kingdom
Timber Trade Federation Ltd.,GB-COH-02515034,Private Sector,United Kingdom
Mercy-USA for Aid and Development,US-EIN-38-2846307,International NGO,United States
Media Development Investment Fund,US-EIN-13-4052259,International NGO,United States
Global Fund for Community Foundations,GB-NIC-073343,Foundation,United Kingdom
Foundation for Social Improvement,GB-CHC-1123384,"Academic, Training and Research",United Kingdom
Medicos del Mundo,ES-NIF-G79408852,International NGO,Spain
Laïcité et Humanisme en Afrique Centrale (LHAC),BE-BCE_KBO-0464147473,National NGO,Belgium
Open Capital Advisors,KE-RCO-CPR-2010-28036,Private Sector,Kenya
Center for Participation and Development,GE-RS-406061513,National NGO,Georgia
The Freedom Fund (US),US-EIN-30-0805768,International NGO,United States
The Centre for Economic Governance and Accountability in Africa  (CEGAA),ZA-NPO-053-456,National NGO,South Africa
Centre for Rights Education and Awareness,KE-NCB-OP-218-051-9994-1329,National NGO,Kenya
Kathmandu Medical College Public Limited,NP-CRO-1158-065-066,"Academic, Training and Research",Nepal
Stellenbosch University,ZA-CIT-9415005603,"Academic, Training and Research",South Africa
Down syndrome Foundation Nigeria,NG-CAC-37051,National NGO,Nigeria
South West International Development Network,GB-CHC-1173320,"Academic, Training and Research",United Kingdom
Loughborough University,GB-HESA-10004113,"Academic, Training and Research",United Kingdom
Transparently Lebanese,CA-CC-13474046,National NGO,Canada
World Young Women's Christian Association,CH-FDJP-106756410,International NGO,Switzerland
ActionAid International Nepal,NP-IRD-301131441,International NGO,Nepal
Amref health Africa in Senegal,SN-NINEA-004487121,International NGO,Senegal
Equality Now,KE-NCB-218051981161116,International NGO,Kenya
SIHA Network,UG-NGO-1317,Regional NGO,Uganda
PPAG,GH-RGD-CG001532017,National NGO,Ghana
International Centre for Migration Policy Development,XM-OCHA-585,Multilateral,Austria
The Hague Academy for Local Governance,NL-KVK-27293917,"Academic, Training and Research",Netherlands
SOS Italia,IT-CF-80017510225,National NGO,Italy
Young Women's Christian Association of Kenya,KE-NCB-218-051-9263-33,National NGO,Kenya
Young Women Christian Association of South Sudan (YWCA SS),SS-RRC-342,National NGO,South Sudan
IDH Investment Management B.V.,NL-KVK-74983393,Private Sector,Netherlands
Mango Tree Property Management LTD,UG-RSB-229709,Private Sector,Uganda
Stichting Leprazending Nederland - The Leprosy Mission Netherlands,NL-KVK-41039028,Foundation,Netherlands
Synergie des Femmes pour la Paix et la Réconciliation des Peuples des Grands Lacs d'Afrique,XI-IATI-SPR,Regional NGO,Congo (Democratic Republic of the)
Assistance Mission for Africa,SS-RRC-465,National NGO,South Sudan
Akina Mama wa Afrika,UG-NGO-3580,International NGO,Uganda
Kvinna till Kvinna,JO-CCD-200178924,International NGO,Jordan
Yayasan PEKKA,ID-KHH-AHU-0013363.AH.01.04,National NGO,Indonesia
Olamma Cares Foundation,NG-CAC-IT-NO96562,National NGO,Nigeria
Eve Organization for Women Development,SS-RRC-405,National NGO,South Sudan
Forschungsinstitut zur Zukunft der Arbeit GmbH (IZA),DE-CR-RA000220-HRB7745,"Academic, Training and Research",Germany
Gender at Work,CA_ON-ONT-1783682,International NGO,Canada
Legal Action Worldwide,NL-KVK-74799525,International NGO,Netherlands
Sisonke National Sex Workers Movement,ZA-NPO-189357,National NGO,South Africa
Jinja district union of persons with disabilities,UG-204CBO-JJA02202000348,Regional NGO,Uganda
London Business School,GB-COH-RC000721,"Academic, Training and Research",United Kingdom
Universiti Malaya,XI-GRID-grid.10347.31,"Academic, Training and Research",Malaysia
University Putra Malaysia,XI-GRID-grid.11142.37,"Academic, Training and Research",Malaysia
YWCA Palestine,PS-MOI-QR-1420-C,National NGO,"Palestine, State of"
Ibrahimia Media Center,EG-MOSS-3959350,National NGO,Egypt
The Education Commission,US-EIN-13-3615533,"Academic, Training and Research",United States
Light Castle Partners,BD-ROC-C-107131,Private Sector,Bangladesh
GoodWeave International,US-EIN-522042014,International NGO,United States
Asian Coalition for Housing Rights,TH-TIN-0993000190092,Regional NGO,Thailand
Hiber for Electronic Media,JO-CCD-58307,Private Sector,Jordan
Women Challenged to Challenge,KE-NCB-WDCBO542010192,National NGO,Kenya
National Union of Women With Disabilities of Uganda,UG-NGO-S59143785,National NGO,Uganda
Ethiopian Women Lawyers Association,ET-CSA-1128,National NGO,Ethiopia
Ethiopian Women with Disabilities National Assocation,et-CSA-0444,National NGO,Ethiopia
InvestInternational,NL-KVK-83517626,Private Sector,Netherlands
Transition International,NL-KVK-77583442,Government,Netherlands
"International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b)",XM-OCHA-4438,"Academic, Training and Research",Bangladesh
The Faraday Institution,GB-COH-10959095,"Academic, Training and Research",United Kingdom
ELEVATE Hong Kong Holdings Limited,HK-CR-2288921,Private Sector,Hong Kong
TRAIDE Foundation,NL-KVK-80547745,Foundation,Netherlands
Centro de Aprendizagem e Capacitação da Sociedade Civil,MZ-NUIT-700089584,National NGO,Mozambique
Public International Law & Policy Group,US-EIN-04-3309296,National NGO,United States
Musawah Global Vision Berhad,MY-SSM-1162174T,International NGO,Malaysia
South African Network of People who Use Drugs,ZA-NPO-213-268,National NGO,South Africa
Rocky Mountain Institute,US-EIN-74-2244146,International NGO,United States
Initiative Sankofa d'Afrique de l'Ouest,GH-RGD-CG200980721,International NGO,Ghana
IT for Change,IN-MHA-094421114,"Academic, Training and Research",India
IDB Invest,XM-DAC-46012,Multilateral,United States
Africa Philanthropy Network,TZ-NNCB-INGOR2000123,International NGO,"Tanzania, United Republic of"
Fundación Avina,PA-PRP-5789,Foundation,Panama
WWF-BRASIL,BR-CNPJ-26990192000114,International NGO,Brazil
African Security Sector Network,GH-DSW-7992,National NGO,Ghana
WWF Indonesia,ID-DJP-018321174017000,International NGO,Indonesia
WWF TUNISIA,TN-RNE-1540791FPN000,International NGO,Tunisia
The Samdhana Institute,PH-SEC-CN200340507,Regional NGO,Philippines
World Wide Fund for Nature Zambia,ZM-PCR-10102712014,International NGO,Zambia
Shack Dwellers International - Kenya,KE-KRA-P051326872M,National NGO,Kenya
Business Watch Indonesia,ID-DJP-023047012526000,National NGO,Indonesia
The Climate Change Organisation,GB-CHC-1102909,International NGO,United Kingdom
Agroicone,BR-CNPJ-09294138-0001-15,Private Sector,Brazil
West Africa Network for Peacebuilding,GH-DSW-1334,Regional NGO,Ghana
"Center for Research, Evaluation Resources and Development (CRERD)",NG-CAC-11660,National NGO,Nigeria
World Wide Fund for Nature - Kenya,KE-NCB-OP2180511619410357,National NGO,Kenya
Non-Timber Forest Products Exchange Programme,PH-SEC-CN200324943,Regional NGO,Philippines
Fundación Gaia Amazonas,CO-RUE-8300033586,Regional NGO,Colombia
GHANA NETHERLANDS BUSINESS & CULTURE COUNCIL,GH-RGD-CG159432015,National NGO,Ghana
Secrétariat Permanent des Organisation non-gouvernementales du Burkina Faso (SPONG-BURKINA),BF-MATD-2407,National NGO,Burkina Faso
Sustainable Development Institute,LR-MFDPNGO-0961,Regional NGO,Liberia
International Women's Rights Action Watch Asia Pacific,MY-SSM-199601006465,International NGO,Malaysia
"Alliance for Global Water Adaptation, Inc",US-EIN-83-3732786,International NGO,United States
CIVIL INITIATIVES FOR DEVELOPMENT AND PEACE INDIA,IN-MHA-1070-99-2000,National NGO,India
Akili Dada,KE-NCB-218051200602584403,National NGO,Kenya
Plateforme des Acteurs de la Société Civile au BENIN,BJ-IFU-6201500233008,National NGO,Benin
Secrétariat de Concertation des Organisations Non Gouvernementales Maliennes,ML-MAT-028-MAT-DNIC-DAG,National NGO,Mali
BANQUE OUEST AFRICAINE DE DEVELOPPEMENT,XM-DAC-46021,Multilateral,Togo
Grow Asia,SG-ACRA-201507403G,Regional NGO,Singapore
TrustAfrica,US-EIN-20-3074517,International NGO,United States
Teach For Pakistan,PK-SEC-0108318,National NGO,Pakistan
Slum Dwellers International,ZA-CIP-2021-421804-08,International NGO,South Africa
RedOrange Media and Communications,BD-ROC-C-104266,Private Sector,Bangladesh
Pan Africa ILGA,ZA-NPO-155-669,Regional NGO,South Africa
FSD Africa,KE-RCO-155081,International NGO,Kenya
Association des Editeurs du Magazine Jimbere,BI-NIF-4001055070,National NGO,Burundi
The Liaison Office,AF-MOE-611,National NGO,Afghanistan
WWF Paraguay,PY-RUC-80025907-6,International NGO,Paraguay
Centre des Etudes Méditerranéennes et Internationales,TN-RNE-1027578P,National NGO,Tunisia
Goree Institute,SN-NINEA-21516110A0,National NGO,Netherlands
FairChain Foundation,NL-KVK-54749484,International NGO,Netherlands
Palestinian Working Women Society for Development,PS-MOI-RA279C,National NGO,"Palestine, State of"
Samir Kassir Foundation,LB-MOI-30-ED,National NGO,Lebanon
ILGA Asia,TH-MOI-KhorThor2882,Regional NGO,Thailand
Burundi Leadership Training Programme,BI-NIF-4000450306,National NGO,Burundi
Riverrecycle Oy,FI-PRO3087706-5,Private Sector,Finland
Collective for Research and Training on Development Action,LB-MOI-3567,National NGO,Lebanon
Arab Women Organization of Jordan,JO-MSD-19700011100010,National NGO,Jordan
Gender Equality Network,MM-MHA-0295,National NGO,Netherlands
Liga Internacional de Mujeres por la Paz y la Libertad - Limpal Colombia,CO-RUE-830053223,National NGO,Colombia
Asian-Pacific Resource and Research Centre for Women (ARROW),MY-SSM-256530H,Regional NGO,Malaysia
Corporación de Apoyo a Comunidades Populares,CO-RUES-800121811,National NGO,Colombia
International Centre for Antimicrobial Resistance Solutions,DK-CVR-42047007,"Academic, Training and Research",Denmark
AVSI South Sudan,SS-RRC-140,International NGO,South Sudan
SOS Børnebyerne,DK-CVR-25825012,International NGO,Denmark
Dalberg Catalyst,US-EIN-81-2108637,International NGO,United States
Association Béninoise pour le Marketing Social et la Communication pour la Santé (ABMS),BJ-IFU-6201810257535,National NGO,Benin
WILPF,CH-FDJP-CHE10092705,International NGO,Switzerland
Stichting Habitat for Humanity Nederland,NL-KVK-41226182,National NGO,Netherlands
U.S. Department of State,US-GOV-11,Government,United States
U.S. Environmental Protection Agency,US-GOV-32,Government,United States
U.S. Department of Commerce,US-GOV-16,Government,United States
U.S. Trade and Development Agency,US-GOV-12,Government,United States
U.S. Department of Agriculture,US-GOV-2,Government,United States
Peace Corp,US-GOV-10,Government,United States
Inter-American Foundation,US-GOV-21,Government,United States
U.S. Department of Transportation,US-GOV-26,Government,United States
U.S. Health and Human Services,US-GOV-14,Government,United States
U.S. Department of Justice,US-GOV-15,Government,United States
U.S. Department of Interior,US-GOV-9,Government,United States
U.S. Department of Defense,US-GOV-7,Government,United States
U.S. Department of Energy,US-GOV-20,Government,United States
U.S. Department of Homeland Security,US-GOV-19,Government,United States
Jordan River Foundation,XM-OCHA-HP3664,National NGO,Jordan
SOS Jeunesse et Défis,BF-MATD-N00000408001,National NGO,Burkina Faso
convention de la société civile ivoirienne,ci-moi-474-mis-dgat-dag-sdva,National NGO,Côte D'Ivoire
Huairou Commission,US-EIN-061805406,International NGO,United States
SIHA-South Sudan,SS-RRC-652,National NGO,South Sudan
Tifa Foundation,ID-KHH-01060014412,National NGO,Indonesia
International Nepal Fellowship Nepal,NP-SWC-19781,National NGO,Nepal
Doctors of the World (NL)/ Dokters van de Wereld,NL-KVK-40539494,International NGO,Netherlands
The Global Center on Adaptation,NL-KVK-76050475,International NGO,Netherlands
United World Schools,GB-CHC-1187721,International NGO,United Kingdom
HRWG Indonesia,ID-KHH-0018020.AH.01.07,National NGO,Indonesia
Organizacion para la Educacion y Proteccion Ambiental -OpEPA-,CO-CCB-0008863,National NGO,Colombia
FIND,CH-FDJP-110.162.567,Foundation,Switzerland
The Palestinian Initiative for the Promotion of Global Dialogue and Democracy-MIFTAH,PS-MOI-QR177HR,National NGO,"Palestine, State of"
Action Aid Cambodia,KH-INGO-20201231,International NGO,Cambodia
Media Foundation for West Africa,GH-DSW-4004,Regional NGO,Ghana
Tech2Peace,IL-RA-580675486,National NGO,Israel
Inter Islamic Network for Water Resources Development and Management,JO-COA-0301-57112,Other Public Sector,Jordan
fedesarrollo,CO-RUE-8600286699,Private Sector,Colombia
Acacia Water,NL-KVK-24428291,Private Sector,Netherlands
AUXFIN International B.V.,NL-KVK-58076573,Private Sector,Netherlands
The University of Aberdeen,GB-UKPRN-10007783,"Academic, Training and Research",United Kingdom
World Relief Corp of National Association of Evangelicals,US-EIN-23-6393344,International NGO,United States
Global Shea Alliance,GH-RGD-CG056382017,Regional NGO,Ghana
"E3 - Ecología, Economía y Etíca",CO-CCB-01952534,Private Sector,Colombia
ICLEI Colombia,CO-RUE-901337512,National NGO,Colombia
University of Strathclyde,GB-SC-SC015263,"Academic, Training and Research",United Kingdom
Basel Institute on Governance,CH-FDJP-CHE-109-991-002,Foundation,Switzerland
IGD Benin,BJ-IFU-6202112757059,National NGO,Benin
The Lebanese Organisation for Studies and Training,LB-MOI-37-AD,National NGO,Lebanon
Association Béninoise pour la Promotion de la Famille,BJ-IFU-6201001214905,National NGO,Benin
University of Exeter,GB-COH-RC000653,"Academic, Training and Research",United Kingdom
Conservation International Foundation,US-EIN-52-1497470,International NGO,United States
Right To Play UK,GB-CHC-1112404,International NGO,United Kingdom
Gorongosa Restoration Project,MZ-NUIT-700061787,Public Private Partnership,Mozambique
University of Leicester,GB-COH-RC000659,"Academic, Training and Research",United Kingdom
